Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],Smith [m],Smith_corrected [m]
02/11/2015 04:15:00,10.1477,,85.657,85.6743
02/11/2015 04:30:00,10.1441,,85.663,85.6776
02/11/2015 04:45:00,10.1397,,85.672,85.6849
02/11/2015 05:00:00,10.1343,,85.676,85.687
02/11/2015 05:15:00,10.1279,,85.676,85.6844
02/11/2015 05:30:00,10.1213,,85.679,85.6854
02/11/2015 05:45:00,10.115,,85.679,85.6828
02/11/2015 06:00:00,10.1099,,85.676,85.6783
02/11/2015 06:15:00,10.1071,,85.657,85.6587
02/11/2015 06:30:00,10.1062,,85.632,85.6329
02/11/2015 06:45:00,10.1078,,85.629,85.6295
02/11/2015 07:00:00,10.1102,,85.629,85.6282
02/11/2015 07:15:00,10.1116,,85.628,85.6263
02/11/2015 07:30:00,10.1127,,85.625,85.6223
02/11/2015 07:45:00,10.1133,,85.624,85.6207
02/11/2015 08:00:00,10.1139,,85.623,85.619
02/11/2015 08:15:00,10.1155,,85.622,85.6176
02/11/2015 08:30:00,10.1172,,85.622,85.6164
02/11/2015 08:45:00,10.1181,,85.617,85.6117
02/11/2015 09:00:00,10.1189,,85.615,85.6098
02/11/2015 09:15:00,10.1201,,85.617,85.6118
02/11/2015 09:30:00,10.1214,,85.615,85.6111
02/11/2015 09:45:00,10.1228,,85.615,85.6113
02/11/2015 10:00:00,10.124,,85.614,85.6108
02/11/2015 10:15:00,10.125,,85.613,85.6114
02/11/2015 10:30:00,10.1256,,85.619,85.6183
02/11/2015 10:45:00,10.1264,,85.626,85.627
02/11/2015 11:00:00,10.1258,,85.632,85.6341
02/11/2015 11:15:00,10.1222,,85.632,85.6346
02/11/2015 11:30:00,10.117,,85.636,85.6393
02/11/2015 11:45:00,10.1108,,85.641,85.6448
02/11/2015 12:00:00,10.1048,,85.641,85.6458
02/11/2015 12:15:00,10.1005,,85.639,85.644
02/11/2015 12:30:00,10.0974,,85.643,85.6484
02/11/2015 12:45:00,10.096,,85.641,85.6469
02/11/2015 13:00:00,10.0949,,85.643,85.65
02/11/2015 13:15:00,10.092,,85.635,85.6423
02/11/2015 13:30:00,10.0897,,85.632,85.6395
02/11/2015 13:45:00,10.0901,,85.631,85.6384
02/11/2015 14:00:00,10.092,,85.661,85.6668
02/11/2015 14:15:00,10.0953,,85.664,85.6693
02/11/2015 14:30:00,10.0995,,85.662,85.6669
02/11/2015 14:45:00,10.1044,,85.664,85.6685
02/11/2015 15:00:00,10.1087,,85.667,85.6718
02/11/2015 15:15:00,10.1106,,85.669,85.6743
02/11/2015 15:30:00,10.1109,,85.67,85.6752
02/11/2015 15:45:00,10.1093,,85.671,85.676
