Lag [hours],IRC [-],BRF [-]
0.0,0.33291278571650657,0.33291278571650657
0.25,0.11717357051367991,0.45008635623018645
0.5,0.04082935166224602,0.49091570789243244
0.75,0.02156429693522096,0.5124800048276534
1.0,0.008083571973694192,0.5205635768013477
1.25,0.006065769808344514,0.5266293466096922
1.5,0.009966659694242782,0.536596006303935
1.75,0.0013818334931736693,0.5379778397971087
2.0,0.012088968657317649,0.5500668084544263
2.25,0.007297588446406235,0.5573643969008326
2.5,0.010894706576591388,0.568259103477424
2.75,0.0024108568438876783,0.5706699603213117
3.0,0.0041087678717728095,0.5747787281930845
3.25,0.005720560388049042,0.5804992885811335
3.5,0.005936809286412444,0.586436097867546
3.75,0.0030130006801315687,0.5894490985476776
4.0,0.0003240288564932595,0.5897731274041709
4.25,-0.014200469347022663,0.5755726580571482
4.5,0.006332149672843102,0.5819048077299913
4.75,-0.004024544695111787,0.5778802630348795
5.0,-0.0015505933015653578,0.5763296697333141
5.25,0.004701525694416609,0.5810311954277307
5.5,-0.005533720932444418,0.5754974744952863
5.75,-0.0025454827094983285,0.572951991785788
6.0,-0.015534002917945867,0.5574179888678422
6.25,-0.001601928043377733,0.5558160608244644
6.5,0.0046832692782044485,0.5604993301026688
6.75,-0.0018420904749340136,0.5586572396277348
7.0,0.0023845692197663883,0.5610418088475012
7.25,0.009696036810483826,0.570737845657985
7.5,-0.0026255391176984878,0.5681123065402865
7.75,-0.002911163143124479,0.5652011433971621
8.0,-0.004218211387148312,0.5609829320100138
