Frequency [cpd],Component,Amplitude [m],Phase [rad]
0.997262,P1,0.001547428509416028,-2.9598490992102757
1.0,S1,0.015128807368716597,-2.7859647106484173
1.002738,K1,0.0018242386510732983,2.6309591112219124
2.0,S2,0.0074806650216496795,-2.4119533342540973
2.005476,K2,0.0006863013440764932,0.34594361899641285
