Lag [hours],IRC [-],BRF [-]
0.0,0.1814848277001926,0.1814848277001926
0.25,-0.10784985931565648,0.07363496838453613
0.5,0.19776458113354436,0.2713995495180805
0.75,-0.09868092211331,0.17271862740477048
1.0,0.17618916638812415,0.3489077937928946
1.25,-0.10034538670644466,0.24856240708644994
1.5,0.15039675168029723,0.39895915876674715
1.75,-0.10954280639970514,0.289416352367042
2.0,0.15582471681874827,0.44524106918579026
2.25,-0.10153697882885235,0.34370409035693794
2.5,0.0980296581719002,0.4417337485288381
2.75,-0.024623215847467468,0.41711053268137066
3.0,-0.005699797455560658,0.41141073522581
3.25,0.035032122700267794,0.4464428579260778
3.5,-0.024250691385845652,0.42219216654023217
3.75,0.03356037218043177,0.45575253872066396
4.0,-0.018061602619466956,0.437690936101197
4.25,0.047347853245692115,0.48503878934688915
4.5,-0.05425872713454087,0.43078006221234827
4.75,0.10885171122489777,0.539631773437246
5.0,-0.10744925073157603,0.43218252270567
5.25,0.12195401565973878,0.5541365383654088
5.5,-0.10126740115644238,0.4528691372089664
5.75,0.08878237057500414,0.5416515077839705
6.0,-0.0512387571963439,0.4904127505876266
6.25,0.04646616911040434,0.5368789196980309
6.5,-0.004767950203472098,0.5321109694945588
6.75,0.03111375576546014,0.563224725260019
7.0,-0.012104552704806966,0.5511201725552121
7.25,0.018173408400194574,0.5692935809554066
7.5,0.03800414180152156,0.6072977227569282
7.75,-0.06269132597656929,0.5446063967803589
8.0,0.12141052534141188,0.6660169221217708
8.25,-0.13313104582710963,0.5328858762946611
8.5,0.14542458187758328,0.6783104581722443
8.75,-0.13216059503734215,0.5461498631349022
9.0,0.1328844385024833,0.6790343016373855
9.25,-0.14184762370506335,0.5371866779323222
9.5,0.16653146641395936,0.7037181443462815
9.75,-0.15811727759857985,0.5456008667477017
10.0,0.1137473375583168,0.6593482043060185
10.25,-0.08330950761370103,0.5760386966923174
10.5,0.0632789452088367,0.6393176419011541
10.75,-0.0646419409693713,0.5746757009317829
11.0,0.06026557599198439,0.6349412769237672
11.25,-0.06212089452599353,0.5728203823977737
11.5,0.07497953261959737,0.647799915017371
11.75,-0.06285076672498817,0.5849491482923829
12.0,0.04263287188071827,0.6275820201731012
12.25,-0.01426557082490278,0.6133164493481984
12.5,-0.01387898758184056,0.5994374617663578
12.75,0.03321796172426747,0.6326554234906253
13.0,-0.046850883815209576,0.5858045396754157
13.25,0.07371846536771968,0.6595230050431353
13.5,-0.047548586143075666,0.6119744189000597
13.75,0.017500775171460883,0.6294751940715205
14.0,-0.0013050727576829808,0.6281701213138375
14.25,-0.011218714008010262,0.6169514073058273
14.5,0.034638913731303185,0.6515903210371305
14.75,-0.04066314406963484,0.6109271769674958
15.0,0.059125142454362394,0.6700523194218582
15.25,-0.04178766784345291,0.6282646515784053
15.5,0.05122831172109743,0.6794929632995027
15.75,-0.021939048925647676,0.657553914373855
16.0,0.002050146983451048,0.6596040613573061
16.25,0.017616147112504553,0.6772202084698107
16.5,-0.030945473912163672,0.6462747345576471
16.75,0.01450084885069853,0.6607755834083456
17.0,-0.01014007681500455,0.6506355065933411
17.25,0.008837131147529579,0.6594726377408707
17.5,-0.0127842891642001,0.6466883485766707
17.75,0.004696872527005618,0.6513852211036762
18.0,-0.018981172211046983,0.6324040488926292
18.25,0.022916454221067195,0.6553205031136964
18.5,-0.01634052658590745,0.6389799765277889
18.75,0.04790990263889557,0.6868898791666845
19.0,-0.06464065301877375,0.6222492261479108
19.25,0.06349779857668521,0.685747024724596
19.5,-0.06707644029892464,0.6186705844256714
19.75,0.033322753494363686,0.651993337920035
20.0,-0.018389084459908653,0.6336042534601264
20.25,-0.0015143484293511852,0.6320899050307752
20.5,-0.01633408854466662,0.6157558164861086
20.75,0.015685114717453673,0.6314409312035623
21.0,-0.04936534374482264,0.5820755874587397
21.25,0.05003071898999122,0.6321063064487309
21.5,-0.052949232919459736,0.5791570735292711
21.75,0.01748924098422945,0.5966463145135006
22.0,0.004204539353117489,0.6008508538666181
22.25,0.004224638670934554,0.6050754925375527
22.5,-0.0202942161497009,0.5847812763878517
22.75,0.03600823952042299,0.6207895159082747
23.0,-0.032924656477052325,0.5878648594312224
23.25,0.04356816486364892,0.6314330242948712
23.5,-0.05202000484554084,0.5794130194493304
23.75,0.03343744013009685,0.6128504595794273
24.0,-0.03431233720283324,0.5785381223765941
