Frequency [cpd],Amplitude [m],Phase [rad]
0.0,1.9334108864133926e-06,0.0
0.012388695315524584,5.4950573127650404e-06,-2.142839954767471
0.024777390631049168,6.1089824954575655e-06,0.8399691990503666
0.03716608594657375,1.1011153885263256e-05,-1.2589595868006696
0.049554781262098335,2.4440309967643475e-05,2.305794170725526
0.06194347657762292,4.2970872295425735e-05,-0.8351971491634861
0.0743321718931475,8.623918124459981e-05,1.884025960660203
0.08672086720867209,0.0002026527645217555,-1.2436722497901271
0.09910956252419667,0.00022606102503191684,2.148881653898632
0.11149825783972125,0.0004799994893409517,0.6794871628983947
0.12388695315524584,0.00137009828649927,-2.1620720747965363
0.13627564847077042,0.0010693530927325552,1.1793666068275441
0.148664343786295,0.0004826449779989388,0.892982047966809
0.1610530391018196,0.0005857322115400126,-2.8986048295861697
0.17344173441734417,0.0012017035187074706,-1.3794240602169727
0.18583042973286876,0.00145039750896759,1.2000673191588045
0.19821912504839334,0.0009772412255381498,-1.6940935864837334
0.21060782036391792,0.0008142597144816955,-1.5133065018408594
0.2229965156794425,0.0011326577722461898,1.867891162101001
0.2353852109949671,0.00045895988525230163,3.0353877082535536
0.24777390631049168,0.0015203470081655483,2.1831069647790597
0.26016260162601623,0.0006080403356399373,-1.201944980210851
0.27255129694154084,0.002791753981768481,-0.7403717682910724
0.28493999225706546,0.002008846786590423,1.2249115105233532
0.29732868757259,0.0015828040609832672,-1.7135355178695886
0.30971738288811457,0.003975420447868779,2.7740678083864485
0.3221060782036392,0.0007781156111872016,-0.28323627356881126
0.3344947735191638,0.0033248162717225186,-0.4467418605634548
0.34688346883468835,0.0040889522444452035,2.526124189243573
0.3592721641502129,0.0032958411705694556,-0.4401844703652805
0.3716608594657375,0.00191301327973351,0.571695387367652
0.3840495547812621,0.0045326250606652204,-2.781070575863786
0.3964382500967867,0.0021165130668631947,0.18323298103421023
0.40882694541231124,0.0007533261181501524,-0.1934545806155432
0.42121564072783585,0.004203507355361052,2.6691181453527615
0.43360433604336046,0.0028467149489237514,-0.7803029339604949
0.445993031358885,0.0007248698682338482,-1.7080622326773025
0.4583817266744096,0.003535581069912759,0.9229030015681673
0.4707704219899342,0.0026351637460558536,-2.4977172073386744
0.4831591173054588,0.0006478349473934768,2.85447743589031
0.49554781262098335,0.003396829300469575,0.3438561776644137
0.5079365079365079,0.004893687992462887,-2.2964869787465423
0.5203252032520325,0.0024810238561445075,0.9560419846174002
0.5327138985675571,0.0010869890827694315,1.1518184173999555
0.5451025938830817,0.001975244681337019,2.5939024606772176
0.5574912891986062,0.0025361715016311557,-0.9393181145514713
0.5698799845141309,0.0009188313694620306,2.691741913388726
0.5822686798296555,0.0013951198482648824,0.404942796736977
