Lag [hours],IRC [-],BRF [-]
0.0,0.33305091437071094,0.33305091437071094
0.25,0.11732442307162422,0.45037533744233516
0.5,0.04096415987559847,0.49133949731793364
0.75,0.02167467647651012,0.5130141737944438
1.0,0.008170852082821081,0.5211850258772649
1.25,0.006134331805640031,0.5273193576829049
1.5,0.010013652775140545,0.5373330104580455
1.75,0.0014071682840208102,0.5387401787420663
2.0,0.012090926895185988,0.5508311056372522
2.25,0.00727987486096088,0.5581109804982132
2.5,0.010855739092951929,0.5689667195911651
2.75,0.0023548795249507346,0.5713215991161158
3.0,0.004039168029276939,0.5753607671453927
3.25,0.005641347876804086,0.5810021150221968
3.5,0.005854009805291032,0.5868561248274878
3.75,0.0029303317573139737,0.5897864565848018
4.0,0.0002432253236998831,0.5900296819085017
4.25,-0.014276476614612977,0.5757532052938887
4.5,0.006268074259693501,0.5820212795535822
4.75,-0.004077349341180269,0.5779439302124019
5.0,-0.0015893795090225027,0.5763545507033794
5.25,0.004680285626423657,0.581034836329803
5.5,-0.005538699429905986,0.575496136899897
5.75,-0.002532742283875182,0.5729633946160217
6.0,-0.015509412327781913,0.5574539822882398
6.25,-0.0015645718439437223,0.5558894104442961
6.5,0.004724307628767834,0.5606137180730639
6.75,-0.001795611621706972,0.558818106451357
7.0,0.00243160320893312,0.5612497096602901
7.25,0.009738419622570285,0.5709881292828604
7.5,-0.0025905536086369544,0.5683975756742234
7.75,-0.0028821972020655743,0.5655153784721578
8.0,-0.004200477314875041,0.5613149011572828
