Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],FG822-2 [m],FG822-2_corrected [m]
07/12/2015 20:15:00,10.1284,,85.68633333333332,85.687
07/12/2015 21:00:00,10.130266666666666,,85.68299999999999,85.6865
07/12/2015 21:45:00,10.134266666666667,,85.67833333333334,85.6859
07/12/2015 22:30:00,10.141399999999999,,85.67399999999999,85.6871
07/12/2015 23:15:00,10.146533333333334,,85.67,85.6883
08/12/2015 00:00:00,10.150966666666667,,85.665,85.6879
08/12/2015 00:45:00,10.154733333333333,,85.66166666666668,85.6879
08/12/2015 01:30:00,10.161466666666668,,85.65966666666667,85.6884
08/12/2015 02:15:00,10.1632,,85.65866666666666,85.6884
08/12/2015 03:00:00,10.163133333333333,,85.658,85.6875
08/12/2015 03:45:00,10.161266666666664,,85.65833333333335,85.6859
08/12/2015 04:30:00,10.160266666666667,,85.661,85.6862
08/12/2015 05:15:00,10.155733333333332,,85.664,85.686
08/12/2015 06:00:00,10.1473,,85.66866666666668,85.6869
08/12/2015 06:45:00,10.138366666666668,,85.67399999999999,85.6885
08/12/2015 07:30:00,10.128766666666666,,85.67933333333333,85.6903
08/12/2015 08:15:00,10.118233333333334,,85.685,85.6923
08/12/2015 09:00:00,10.107833333333334,,85.69033333333334,85.6944
08/12/2015 09:45:00,10.100633333333334,,85.69266666666665,85.6951
08/12/2015 10:30:00,10.0964,,85.69366666666667,85.6958
08/12/2015 11:15:00,10.094333333333333,,85.69433333333332,85.6974
08/12/2015 12:00:00,10.095366666666665,,85.693,85.6979
08/12/2015 12:45:00,10.098833333333333,,85.69099999999999,85.6982
08/12/2015 13:30:00,10.103733333333333,,85.68900000000001,85.6983
08/12/2015 14:15:00,10.1092,,85.68733333333334,85.6982
08/12/2015 15:00:00,10.115566666666668,,85.68599999999999,85.6979
08/12/2015 15:45:00,10.120833333333334,,85.68633333333332,85.6985
08/12/2015 16:30:00,10.122399999999999,,85.68733333333334,85.6985
08/12/2015 17:15:00,10.123399999999998,,85.68966666666665,85.6992
08/12/2015 18:00:00,10.119866666666667,,85.692,85.6988
08/12/2015 18:45:00,10.115533333333333,,85.69466666666666,85.6987
08/12/2015 19:30:00,10.110966666666668,,85.69533333333334,85.6966
08/12/2015 20:15:00,10.108133333333333,,85.69433333333335,85.6937
08/12/2015 21:00:00,10.109566666666668,,85.692,85.6909
08/12/2015 21:45:00,10.1141,,85.68933333333332,85.6893
08/12/2015 22:30:00,10.119633333333333,,85.68866666666668,85.6906
08/12/2015 23:15:00,10.124733333333333,,85.68766666666666,85.6922
09/12/2015 00:00:00,10.128100000000002,,85.685,85.692
09/12/2015 00:45:00,10.123133333333334,,85.682,85.6899
09/12/2015 01:30:00,10.130666666666668,,85.67966666666666,85.6899
09/12/2015 02:15:00,10.1363,,85.67766666666667,85.6897
09/12/2015 03:00:00,10.1381,,85.678,85.6913
09/12/2015 03:45:00,10.135633333333333,,85.68,85.6933
09/12/2015 04:30:00,10.131,,85.68400000000001,85.6955
09/12/2015 05:15:00,10.123966666666666,,85.68866666666668,85.697
09/12/2015 06:00:00,10.114466666666667,,85.69266666666668,85.6965
09/12/2015 06:45:00,10.103666666666667,,85.69866666666667,85.6975
09/12/2015 07:30:00,10.0953,,85.70333333333333,85.6975
09/12/2015 08:15:00,10.087433333333333,,85.70966666666668,85.6999
09/12/2015 09:00:00,10.080366666666665,,85.714,85.7014
09/12/2015 09:45:00,10.073033333333333,,85.71833333333332,85.7041
09/12/2015 10:30:00,10.067033333333333,,85.72066666666667,85.7056
09/12/2015 11:15:00,10.064466666666666,,85.721,85.7062
09/12/2015 12:00:00,10.065433333333333,,85.72033333333333,85.7069
09/12/2015 12:45:00,10.0675,,85.71766666666667,85.7059
09/12/2015 13:30:00,10.073133333333333,,85.714,85.7045
