Frequency [cpd],Component,Amplitude [nstr],Phase [rad]
0.893244,Q1,2.1307780269024796,-3.0291055903334847
0.929536,O1,11.272533897297809,-2.585540807708477
0.966446,M1,0.832713020173323,-0.7389188731978451
0.997262,P1,4.554616285825249,-0.9322956023954118
1.0,S1,0.5934899802164039,2.7253444882969458
1.002738,K1,15.48275315567541,-0.7992344713818746
1.895982,N2,3.3839147351266674,-2.192118246196482
1.932274,M2,17.544727293786337,-1.753258738724127
2.0,S2,8.194785335265555,-0.3619902290324955
2.005476,K2,2.6219658540010715,3.116814642699748
