Frequency [cpd],Components,Amplitude [m**2/s**2],Phase [rad]
0.893244,Q1,0.0025914673015981307,0.6954479788818324
0.929536,O1,0.0028998664096596114,-2.2077483336271437
0.966446,M1,0.0024564770383062014,-3.059370432430059
0.997262,P1,0.00856563935247006,0.8183079699301445
1.0,S1,0.02236771437381802,1.5138949911095774
1.002738,K1,0.004640020793759376,1.9278795609089479
1.895982,N2,0.0027158357920748126,-3.03745540587797
1.932274,M2,0.005166549981472365,1.1943787473133716
2.0,S2,0.06833114411433892,3.039390572655157
2.005476,K2,0.007438760910573031,0.7892490801502609
