Datetime [UTC+10.00],Baro [m],Earth tides [m**2/s**2],FG822-1 [m],FG822-1_corrected [m]
01/11/2015 00:00:00,10.1022,,144.093,144.0965
01/11/2015 00:15:00,10.1038,,144.091,144.0954
01/11/2015 00:30:00,10.105,,144.089,144.0938
01/11/2015 00:45:00,10.106,,144.088,144.0937
01/11/2015 01:00:00,10.1075,,144.087,144.0932
01/11/2015 01:15:00,10.1111,,144.087,144.0944
01/11/2015 01:30:00,10.1144,,144.085,144.093
01/11/2015 01:45:00,10.1146,,144.084,144.0924
01/11/2015 02:00:00,10.1142,,144.084,144.0927
01/11/2015 02:15:00,10.1153,,144.084,144.093
01/11/2015 02:30:00,10.1163,,144.083,144.0922
01/11/2015 02:45:00,10.116,,144.083,144.0918
01/11/2015 03:00:00,10.1156,,144.083,144.0917
01/11/2015 03:15:00,10.1161,,144.083,144.0913
01/11/2015 03:30:00,10.1164,,144.082,144.0898
01/11/2015 03:45:00,10.1155,,144.081,144.0879
01/11/2015 04:00:00,10.1148,,144.081,144.0872
01/11/2015 04:15:00,10.1159,,144.081,144.0866
01/11/2015 04:30:00,10.1171,,144.082,144.0868
01/11/2015 04:45:00,10.1168,,144.082,144.0858
01/11/2015 05:00:00,10.1159,,144.083,144.0857
01/11/2015 05:15:00,10.1151,,144.083,144.0846
01/11/2015 05:30:00,10.1142,,144.084,144.0843
01/11/2015 05:45:00,10.1132,,144.085,144.0841
01/11/2015 06:00:00,10.1118,,144.085,144.0828
01/11/2015 06:15:00,10.1092,,144.085,144.0813
01/11/2015 06:30:00,10.1069,,144.086,144.081
01/11/2015 06:45:00,10.1065,,144.086,144.0798
01/11/2015 07:00:00,10.1063,,144.086,144.0788
01/11/2015 07:15:00,10.1047,,144.087,144.0786
01/11/2015 07:30:00,10.1029,,144.086,144.0766
01/11/2015 07:45:00,10.1017,,144.086,144.0757
01/11/2015 08:00:00,10.1012,,144.085,144.0741
01/11/2015 08:15:00,10.1023,,144.085,144.0738
01/11/2015 08:30:00,10.1038,,144.084,144.0727
01/11/2015 08:45:00,10.1049,,144.087,144.0758
01/11/2015 09:00:00,10.1054,,144.087,144.0759
01/11/2015 09:15:00,10.1046,,144.086,144.0751
01/11/2015 09:30:00,10.1032,,144.085,144.0742
01/11/2015 09:45:00,10.1011,,144.084,144.0732
01/11/2015 10:00:00,10.0999,,144.084,144.0736
01/11/2015 10:15:00,10.1026,,144.083,144.0736
01/11/2015 10:30:00,10.1057,,144.083,144.0745
01/11/2015 10:45:00,10.1062,,144.083,144.0753
01/11/2015 11:00:00,10.1062,,144.084,144.077
01/11/2015 11:15:00,10.1071,,144.083,144.077
01/11/2015 11:30:00,10.1079,,144.083,144.0779
01/11/2015 11:45:00,10.1076,,144.083,144.0788
01/11/2015 12:00:00,10.1071,,144.083,144.0796
01/11/2015 12:15:00,10.1074,,144.081,144.0784
01/11/2015 12:30:00,10.1076,,144.079,144.0772
01/11/2015 12:45:00,10.1065,,144.078,144.0765
01/11/2015 13:00:00,10.1068,,144.076,144.0754
01/11/2015 13:15:00,10.1119,,144.075,144.076
01/11/2015 13:30:00,10.1178,,144.074,144.0762
01/11/2015 13:45:00,10.1207,,144.073,144.0767
01/11/2015 14:00:00,10.1229,,144.072,144.0768
01/11/2015 14:15:00,10.1262,,144.071,144.0772
01/11/2015 14:30:00,10.129,,144.071,144.0782
01/11/2015 14:45:00,10.13,,144.07,144.0779
01/11/2015 15:00:00,10.1299,,144.069,144.0779
01/11/2015 15:15:00,10.1289,,144.069,144.078
01/11/2015 15:30:00,10.128,,144.069,144.0785
01/11/2015 15:45:00,10.1295,,144.072,144.0819
01/11/2015 16:00:00,10.1305,,144.073,144.0834
01/11/2015 16:15:00,10.1283,,144.074,144.0841
01/11/2015 16:30:00,10.125,,144.075,144.0847
01/11/2015 16:45:00,10.1219,,144.076,144.085
01/11/2015 17:00:00,10.1189,,144.078,144.0865
01/11/2015 17:15:00,10.1167,,144.078,144.0857
01/11/2015 17:30:00,10.1146,,144.081,144.0876
01/11/2015 17:45:00,10.1116,,144.08,144.0854
01/11/2015 18:00:00,10.1086,,144.081,144.0852
01/11/2015 18:15:00,10.1059,,144.084,144.087
01/11/2015 18:30:00,10.1041,,144.086,144.0881
01/11/2015 18:45:00,10.1056,,144.087,144.0888
01/11/2015 19:00:00,10.106,,144.087,144.0881
01/11/2015 19:15:00,10.0995,,144.09,144.0896
01/11/2015 19:30:00,10.0929,,144.089,144.0875
01/11/2015 19:45:00,10.0921,,144.088,144.0856
01/11/2015 20:00:00,10.0933,,144.089,144.0863
01/11/2015 20:15:00,10.0948,,144.09,144.0871
01/11/2015 20:30:00,10.0965,,144.091,144.0883
01/11/2015 20:45:00,10.0976,,144.092,144.0895
01/11/2015 21:00:00,10.098,,144.09,144.0876
01/11/2015 21:15:00,10.097,,144.089,144.0866
01/11/2015 21:30:00,10.0963,,144.086,144.0842
01/11/2015 21:45:00,10.0974,,144.082,144.0808
01/11/2015 22:00:00,10.1002,,144.079,144.0791
01/11/2015 22:15:00,10.1057,,144.08,144.0816
01/11/2015 22:30:00,10.1123,,144.076,144.0796
01/11/2015 22:45:00,10.1193,,144.073,144.0787
01/11/2015 23:00:00,10.1256,,144.069,144.0768
01/11/2015 23:15:00,10.1286,,144.068,144.0775
01/11/2015 23:30:00,10.1314,,144.064,144.0758
01/11/2015 23:45:00,10.1373,,144.063,144.0772
02/11/2015 00:00:00,10.1436,,144.061,144.0776
02/11/2015 00:15:00,10.1486,,144.059,144.0776
02/11/2015 00:30:00,10.1519,,144.059,144.0793
02/11/2015 00:45:00,10.1515,,144.058,144.0792
02/11/2015 01:00:00,10.1501,,144.058,144.0803
02/11/2015 01:15:00,10.1502,,144.058,144.0809
02/11/2015 01:30:00,10.15,,144.058,144.0815
02/11/2015 01:45:00,10.148,,144.058,144.0818
02/11/2015 02:00:00,10.1457,,144.058,144.0819
02/11/2015 02:15:00,10.1443,,144.059,144.0828
02/11/2015 02:30:00,10.1431,,144.059,144.0821
02/11/2015 02:45:00,10.1419,,144.059,144.0813
02/11/2015 03:00:00,10.1408,,144.056,144.0777
02/11/2015 03:15:00,10.1395,,144.056,144.077
02/11/2015 03:30:00,10.1396,,144.057,144.0773
02/11/2015 03:45:00,10.1445,,144.059,144.0799
02/11/2015 04:00:00,10.1489,,144.06,144.0806
02/11/2015 04:15:00,10.1477,,144.064,144.0839
02/11/2015 04:30:00,10.1441,,144.067,144.0858
02/11/2015 04:45:00,10.1397,,144.071,144.0886
02/11/2015 05:00:00,10.1343,,144.073,144.0893
02/11/2015 05:15:00,10.1279,,144.074,144.0884
02/11/2015 05:30:00,10.1213,,144.077,144.0894
02/11/2015 05:45:00,10.115,,144.078,144.0879
02/11/2015 06:00:00,10.1099,,144.078,144.0859
02/11/2015 06:15:00,10.1071,,144.079,144.0849
02/11/2015 06:30:00,10.1062,,144.08,144.0844
02/11/2015 06:45:00,10.1078,,144.079,144.0823
02/11/2015 07:00:00,10.1102,,144.08,144.0824
02/11/2015 07:15:00,10.1116,,144.08,144.082
02/11/2015 07:30:00,10.1127,,144.079,144.0804
02/11/2015 07:45:00,10.1133,,144.079,144.0798
02/11/2015 08:00:00,10.1139,,144.079,144.0795
02/11/2015 08:15:00,10.1155,,144.079,144.0791
