Lag [hours],IRC [-],ERF [-]
0.0,0.012297383994091205,0.012297383994091205
0.25,-0.026386905666624418,-0.014089521672533212
0.5,0.0181630885244405,0.004073566851907287
0.75,0.002872836976395988,0.006946403828303275
1.0,-0.009676383344598515,-0.0027299795162952396
1.25,0.009795814615241193,0.007065835098945953
1.5,-0.019323273646150548,-0.012257438547204595
1.75,0.031334583510075065,0.019077144962870468
2.0,-0.027855405875482266,-0.008778260912611798
2.25,0.01076871277368245,0.0019904518610706513
2.5,0.0019496860708736418,0.003940137931944293
2.75,-0.002278284788310585,0.0016618531436337083
3.0,-0.002332801418582388,-0.0006709482749486799
3.25,0.00474243480864781,0.004071486533699131
3.5,-0.0072850538590159995,-0.0032135673253168686
3.75,0.015228050444739096,0.012014483119422228
4.0,-0.021443549273780674,-0.009429066154358446
4.25,0.01652298337346052,0.007093917219102075
4.5,-0.010966216489057812,-0.0038722992699557375
4.75,0.015151790290383703,0.011279491020427966
5.0,-0.01606455081007176,-0.004785059789643794
5.25,0.007343705299604507,0.0025586455099607126
5.5,-0.0012502169928139608,0.0013084285171467518
5.75,-0.00039661284365301124,0.0009118156734937406
6.0,0.002309716964657896,0.0032215326381516366
6.25,-0.002369786331717482,0.0008517463064341545
6.5,-0.0014722114376023324,-0.0006204651311681778
6.75,0.0011220122522728633,0.0005015471211046855
7.0,0.0025101331894398886,0.003011680310544574
7.25,0.00341916743303395,0.006430847743578524
7.5,-0.01571180265910404,-0.009280954915525514
7.75,0.01778490136911601,0.008503946453590497
8.0,-0.0071165042286865,0.0013874422249039965
